Symbol	frequency
  e      12.38%
  a      8.07%
  t      7.99%
  s      7.13%
  r      6.27%
  i      6.03%
  h      6.03%
  o      5.72%
  n      5.17%
  u      4.39%
  d      3.92%
  l      3.76%
  p      3.53%
  m      2.98%
  c      2.51%
  g      1.8%
  w      1.72%
  y      1.65%
  f      1.33%
  v      1.18%
  b      1.1%
  T      1.02%
  B      0.94%
  k      0.55%
  I      0.47%
  J      0.39%
  N      0.24%
  j      0.16%
  D      0.16%
  P      0.16%
  A      0.16%
  Y      0.16%
  C      0.16%
  F      0.08%
  0      0.08%
  2      0.08%
  1      0.08%
  G      0.08%
  W      0.08%
  S      0.08%
  6      0.08%
  E      0.08%
  H      0.08%

Symbol	Huffman Codes
  E      0011110111
  0      1100110001
  2      0011110110
  6      0011111011
  F      1100110000
  1      0011111010
  H      0011110011
  W      0011110010
  G      0001111001
  S      0001111000
  A      000111111
  j      001111000
  N      110011001
  C      000111101
  Y      001111010
  P      000111110
  D      001111100
  J      00111111
  I      11001101
  B      1100111
  k      0001110
  g      110010
  T      000100
  f      001110
  y      101010
  w      101011
  v      000110
  b      000101
  p      11000
  m      10100
  c      00110
  l      11010
  d      11011
  n      0010
  r      0111
  u      0000
  t      1110
  a      1111
  o      0100
  i      0101
  s      1011
  h      0110
  e      100

Total Bits: 5645
